file	obj	ttot	ub
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_20_50_5.5.out	0	0	10000
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_20_50_5.6.out	0	0	10000
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_20_50_5.7.out	0	0	10000
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_20_50_5.8.out	0	0	10000
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_20_50_5.9.out	0	0	10000
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_10.0.out	576	0.438989	576
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_10.1.out	583	0.443225	583
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_10.2.out	578	0.457804	578
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_10.3.out	582	0.434387	582
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_10.4.out	579	0.430265	579
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_10.5.out	586	0.413114	586
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_10.6.out	581	0.404278	581
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_10.7.out	575	0.399587	575
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_10.8.out	579	0.36166	579
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_10.9.out	570	0.410249	570
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_2.0.out	568	0.377664	568
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_2.1.out	563	0.238807	563
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_2.2.out	563	0.254355	563
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_2.3.out	558	0.594425	558
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_2.4.out	570	0.562652	570
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_2.5.out	563	0.578894	563
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_2.6.out	559	0.600936	559
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_2.7.out	561	0.523759	561
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_2.8.out	570	0.550194	570
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_2.9.out	564	0.442752	564
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_5.0.out	567	0.427026	567
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_5.1.out	572	0.421432	572
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_5.2.out	572	0.430165	572
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_5.3.out	569	0.444627	569
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_5.4.out	573	0.445542	573
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_5.5.out	563	0.39147	563
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_5.6.out	569	0.357007	569
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_5.7.out	564	0.407404	564
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_5.8.out	568	0.442115	568
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_20_5.9.out	570	0.427426	570
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_50_10.0.out	580	0.281146	580
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_50_10.1.out	571	0.303761	571
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_50_10.2.out	567	0.284706	567
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_50_10.3.out	571	0.291779	571
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_50_10.4.out	570	0.287075	570
runs/gclcs-alg-1bs-1guidance-1feas-1-allowed/gclcs_10_1000_2_50_10.5.out	579	0.294034	579
