file	obj	ttot	ub
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_20_50_5.4.out	0	0	323
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_20_50_5.5.out	0	0	318
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_20_50_5.6.out	0	0	323
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_20_50_5.7.out	0	0	325
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_20_50_5.8.out	0	0	323
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_20_50_5.9.out	0	0	321
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_2_20_10.0.out	0	0	799
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_2_20_10.1.out	0	0	804
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_2_20_10.2.out	0	0	800
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_2_20_10.3.out	0	0	799
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_2_20_10.4.out	0	0	800
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_2_20_10.5.out	0	0	795
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_2_20_10.6.out	0	0	795
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_2_20_10.7.out	0	0	800
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_2_20_10.8.out	0	0	798
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_2_20_10.9.out	0	0	798
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_2_20_2.0.out	0	0	785
runs/gclcs-alg-0bs-0guidance-0-feas-0-ub-12/gclcs_10_1000_2_20_2.1.out	0	0	786
