2,100,20,2,49.9,54,63,63,63,63
2,100,50,2,55.6,58.5,62.7,62.7,62.7,62.7
2,100,20,5,54.3,56.4,63.2,63.2,63.2,63.2
2,100,50,5,55.4,59.6,62.9,63,62.9,63
2,100,20,10,63.5,61.9,67.7,67.7,67.6,67.7
2,100,50,10,56.8,61,63.2,63.2,63.2,63.2
2,500,20,2,259.5,293,315.1,322.4,319.5,322.4
2,500,50,2,276.9,306.3,309.7,319,318.7,319
2,500,20,5,270.4,305.2,314.9,323.5,322.1,323.8
2,500,50,5,279.2,313.2,313.5,322.7,322,322.7
2,500,20,10,299.5,324,325.2,337.7,336.1,337.7
2,500,50,10,289.7,318.5,314.3,325.1,324.1,325.1
2,1000,20,2,511.1,587.1,614.3,645.6,637.2,645.9
2,1000,50,2,555,624.4,619.6,648.7,646.7,648.7
2,1000,20,5,545.6,617.5,621.1,649.9,644.7,650.7
2,1000,50,5,560.6,629.6,615.7,646.2,642.3,647
2,1000,20,10,597.5,657.6,640.7,680.6,677.8,680.8
2,1000,50,10,573.2,637.6,618.1,649.9,648.5,650
5,100,20,2,35.8,39.8,42.7,42.9,42.7,0 
5,100,50,2,36.5,40.1,41.7,41.9,41.4,0  
5,100,20,5,37.9,41.4,44.3,44.4,43.9,0 
5,100,50,5,36.5,40.7,42.6,42.7,41.8,45
5,100,20,10,46.5,50,53,53,53,53.37
5,100,50,10,37.3,42,43.6,43.9,43.3,44
5,500,20,2,179.9,209.1,212.6,223.9,220.6,0  
5,500,50,2,187.7,217.4,211.4,224.3,223.7,0 
5,500,20,5,190.1,221.2,219.3,231.4,228.7,0 
5,500,50,5,191.3,218.8,212.6,223.8,222.3,0 
5,500,20,10,208.4,253.2,253.5,263.2,263,0 
5,500,50,10,194.7,223.5,214.6,227.3,226.6,0 
5,1000,20,2,365.5,423,423.1,452,444.5,0 
5,1000,50,2,382.6,439.4,422.1,451.5,449.6,0 
5,1000,20,5,374.7,442.5,429.4,463,455.9,0 
5,1000,50,5,385.9,446.2,423.1,454.1,451.7,0 
5,1000,20,10,401.6,506.6,473.7,526,524.7,0 
5,1000,50,10,392.8,451.3,425.7,458.3,455.3,0 
10,100,20,2,29.11,32.8,34.5,35,34.3,0 
10,100,50,2,28.7,33.2,33.8,34.3,33.7,0 
10,100,20,5,32.62,35.1,37.4,37.7,37.2,0 
10,100,50,5,29.3,33.6,34.6,35,34.5,0 
10,100,20,10,41.38,45.9,50.2,50.2,50.2,50.2
10,100,50,10,31.44,34.9,36,36.5,35.9,0 
10,500,20,2,155.2,175.5,172.9,184.5,180.9,0 
10,500,50,2,159,179.5,171.6,184,182.5,0 
10,500,20,5,161.3,185.9,180,194.4,190.4,0 
10,500,50,5,160.2,182.6,172.7,185.9,184.3,0 
10,500,20,10,186.4,235.4,251,251,251,0 
10,500,50,10,164.5,188.5,176.8,191.1,189.4,0 
10,1000,20,2,310.7,357.9,347.6,374.8,368.9,0 
10,1000,50,2,324.1,367.5,346.3,374.5,371.7,0 
10,1000,20,5,320.7,373.2,353.5,389.4,381.1,0 
10,1000,50,5,328.3,372.7,348.4,377.5,374.5,0 
10,1000,20,10,348.6,478.4,497.9,502.1,502.1,0 
10,1000,50,10,334.4,381.8,351.3,386.1,382.7,0 
