                         index file runs obj_mean   obj_sd ttot_mean
10_100_20_10     10_100_20_10   10     10.2 0.421637      0.01
10_100_20_2       10_100_20_2   10     50.0 0.000000      0.02
10_100_20_20     10_100_20_20   10      7.3 0.674949      0.03
10_100_20_4       10_100_20_4   10     25.0 0.000000      0.03
10_100_20_50     10_100_20_50   10      7.9 0.994429      0.11
10_100_4_10       10_100_4_10   10     34.6 0.699206     17.45
10_100_4_2         10_100_4_2   10     50.0 0.000000      0.02
10_100_4_20       10_100_4_20   10     34.5 0.971825     16.80
10_100_4_4         10_100_4_4   10     34.5 0.971825      0.86
10_100_4_50       10_100_4_50   10     34.3 1.059350     20.01
10_1000_20_10   10_1000_20_10   10    105.4 2.170509      0.08
10_1000_20_2     10_1000_20_2   10    500.0 0.000000      0.09
10_1000_20_20   10_1000_20_20   10     97.8 2.250926     45.47
10_1000_20_4     10_1000_20_4   10    250.0 0.000000      0.09
10_1000_20_50   10_1000_20_50   10    102.0 1.490712    280.70
10_1000_4_10     10_1000_4_10   10    375.8 2.820559    240.47
10_1000_4_2       10_1000_4_2   10    501.7 1.159502      0.12
10_1000_4_20     10_1000_4_20   10    372.7 2.057507    346.66
10_1000_4_4       10_1000_4_4   10    361.7 7.349225    108.02
10_1000_4_50     10_1000_4_50   10    372.4 2.011080    372.29
10_500_20_10     10_500_20_10   10     53.1 0.875595      0.04
10_500_20_2       10_500_20_2   10    250.0 0.000000      0.06
10_500_20_20     10_500_20_20   10     47.0 1.154701     17.47
10_500_20_4       10_500_20_4   10    125.0 0.000000      0.04
10_500_20_50     10_500_20_50   10     49.7 1.059350    137.04
10_500_4_10       10_500_4_10   10    185.0 1.699673    136.96
10_500_4_2         10_500_4_2   10    250.6 0.843274      0.04
10_500_4_20       10_500_4_20   10    184.2 1.988858    163.70
10_500_4_4         10_500_4_4   10    182.4 2.633122     48.85
10_500_4_50       10_500_4_50   10    183.6 0.966092    157.30
100_100_20_10   100_100_20_10   10     10.0 0.000000      0.03
100_100_20_2     100_100_20_2   10     50.0 0.000000      0.04
100_100_20_20   100_100_20_20   10      5.0 0.000000      0.03
100_100_20_4     100_100_20_4   10     25.0 0.000000      0.03
