                         index file runs obj_mean   obj_sd ttot_mean
10_100_20_10     10_100_20_10   10     10.2 0.421637      0.01
10_100_20_2       10_100_20_2   10     50.0 0.000000      0.03
10_100_20_20     10_100_20_20   10      6.0 0.000000      0.01
10_100_20_4       10_100_20_4   10     25.0 0.000000      0.02
10_100_20_50     10_100_20_50   10      4.3 0.823273      0.01
10_100_4_10       10_100_4_10   10     22.9 1.197219      0.01
10_100_4_2         10_100_4_2   10     50.0 0.000000      0.02
10_100_4_20       10_100_4_20   10     21.4 1.429841      0.01
10_100_4_4         10_100_4_4   10     28.6 1.074968      0.01
10_100_4_50       10_100_4_50   10     20.9 1.523884      0.02
10_1000_20_10   10_1000_20_10   10    101.0 0.000000      0.11
10_1000_20_2     10_1000_20_2   10    500.0 0.000000      0.11
10_1000_20_20   10_1000_20_20   10     56.6 0.966092      0.12
10_1000_20_4     10_1000_20_4   10    250.0 0.000000      0.13
10_1000_20_50   10_1000_20_50   10     48.9 2.078995      0.11
10_1000_4_10     10_1000_4_10   10    245.5 3.100179      0.12
10_1000_4_2       10_1000_4_2   10    500.1 0.316228      0.10
10_1000_4_20     10_1000_4_20   10    244.4 5.103376      0.11
10_1000_4_4       10_1000_4_4   10    264.7 3.267687      0.11
10_1000_4_50     10_1000_4_50   10    239.2 4.049691      0.11
10_500_20_10     10_500_20_10   10     51.0 0.000000      0.03
10_500_20_2       10_500_20_2   10    250.0 0.000000      0.04
10_500_20_20     10_500_20_20   10     30.2 0.918937      0.04
10_500_20_4       10_500_20_4   10    125.0 0.000000      0.04
10_500_20_50     10_500_20_50   10     23.8 1.032796      0.03
10_500_4_10       10_500_4_10   10    121.4 3.533962      0.04
10_500_4_2         10_500_4_2   10    250.1 0.316228      0.04
10_500_4_20       10_500_4_20   10    119.7 2.311805      0.03
10_500_4_4         10_500_4_4   10    134.3 2.057507      0.04
10_500_4_50       10_500_4_50   10    117.8 3.011091      0.04
100_100_20_10   100_100_20_10   10     10.0 0.000000      0.02
100_100_20_2     100_100_20_2   10     50.0 0.000000      0.03
100_100_20_20   100_100_20_20   10      5.0 0.000000      0.02
100_100_20_4     100_100_20_4   10     25.0 0.000000      0.02
100_100_20_50   100_100_20_50   10      2.3 0.483046      0.02
100_100_4_10     100_100_4_10   10     18.9 1.100505      0.03
100_100_4_2       100_100_4_2   10     50.0 0.000000      0.02
100_100_4_20     100_100_4_20   10     17.6 0.843274      0.02
100_100_4_4       100_100_4_4   10     25.9 0.567646      0.02
100_100_4_50     100_100_4_50   10     17.0 1.247219      0.02
100_1000_20_10 100_1000_20_10   10    100.0 0.000000      0.95
