                         index file runs obj_mean   obj_sd ttot_mean
10_100_20_10     10_100_20_10   10     10.2 0.421637      0.02
10_100_20_2       10_100_20_2   10     50.0 0.000000      0.02
10_100_20_20     10_100_20_20   10      7.3 0.674949      0.02
10_100_20_4       10_100_20_4   10     25.0 0.000000      0.02
10_100_20_50     10_100_20_50   10      7.9 0.994429      0.10
10_100_4_10       10_100_4_10   10     32.1 1.595131     22.97
10_100_4_2         10_100_4_2   10     50.0 0.000000      0.02
10_100_4_20       10_100_4_20   10     33.4 0.966092     25.58
10_100_4_4         10_100_4_4   10     34.5 0.971825      1.53
10_100_4_50       10_100_4_50   10     33.8 1.229273     26.23
10_1000_20_10   10_1000_20_10   10    105.4 2.170509      0.11
10_1000_20_2     10_1000_20_2   10    500.0 0.000000      0.12
10_1000_20_20   10_1000_20_20   10     87.9 3.813718    146.28
10_1000_20_4     10_1000_20_4   10    250.0 0.000000      0.10
10_1000_20_50   10_1000_20_50   10     85.6 5.015531    551.37
10_1000_4_10     10_1000_4_10   10    330.4 4.857983    391.69
10_1000_4_2       10_1000_4_2   10    501.7 1.159502      0.11
10_1000_4_20     10_1000_4_20   10    343.8 4.104198    390.98
10_1000_4_4       10_1000_4_4   10    330.8 6.321041    220.17
10_1000_4_50     10_1000_4_50   10    354.7 4.001389    428.25
10_500_20_10     10_500_20_10   10     53.1 0.875595      0.04
10_500_20_2       10_500_20_2   10    250.0 0.000000      0.04
10_500_20_20     10_500_20_20   10     44.7 2.110819     57.02
10_500_20_4       10_500_20_4   10    125.0 0.000000      0.04
10_500_20_50     10_500_20_50   10     41.9 2.960856    221.74
10_500_4_10       10_500_4_10   10    165.9 3.665151    193.91
10_500_4_2         10_500_4_2   10    250.6 0.843274      0.04
10_500_4_20       10_500_4_20   10    173.3 3.831159    192.14
10_500_4_4         10_500_4_4   10    168.6 3.339993     97.05
10_500_4_50       10_500_4_50   10    177.7 2.263233    174.71
100_100_20_10   100_100_20_10   10     10.0 0.000000      0.03
100_100_20_2     100_100_20_2   10     50.0 0.000000      0.03
100_100_20_20   100_100_20_20   10      5.0 0.000000      0.02
100_100_20_4     100_100_20_4   10     25.0 0.000000      0.03
100_100_20_50   100_100_20_50   10      2.4 0.516398      0.03
100_100_4_10     100_100_4_10   10     21.5 0.707107     19.26
100_100_4_2       100_100_4_2   10     50.0 0.000000      0.02
100_100_4_20     100_100_4_20   10     21.9 0.316228     19.71
100_100_4_4       100_100_4_4   10     26.5 0.971825      0.02
100_100_4_50     100_100_4_50   10     21.6 0.516398     19.43
100_1000_20_10 100_1000_20_10   10    100.0 0.000000      1.03
100_1000_20_2   100_1000_20_2   10    500.0 0.000000      1.09
