                         index file runs obj_mean   obj_sd ttot_mean
10_100_20_10     10_100_20_10   10     10.1 0.316228      0.02
10_100_20_2       10_100_20_2   10     50.0 0.000000      0.02
10_100_20_20     10_100_20_20   10      7.1 0.737865      0.02
10_100_20_4       10_100_20_4   10     25.0 0.000000      0.02
10_100_20_50     10_100_20_50   10      6.2 0.918937      0.02
10_100_4_10       10_100_4_10   10     30.1 1.197219      0.01
10_100_4_2         10_100_4_2   10     50.0 0.000000      0.02
10_100_4_20       10_100_4_20   10     30.4 1.173788      0.01
10_100_4_4         10_100_4_4   10     32.3 0.948683      0.02
10_100_4_50       10_100_4_50   10     28.4 1.505545      0.01
10_1000_20_10   10_1000_20_10   10    103.9 2.024846      0.14
10_1000_20_2     10_1000_20_2   10    500.0 0.000000      0.10
10_1000_20_20   10_1000_20_20   10     81.2 2.573368      0.12
10_1000_20_4     10_1000_20_4   10    250.0 0.000000      0.13
10_1000_20_50   10_1000_20_50   10     82.5 2.592725      0.10
10_1000_4_10     10_1000_4_10   10    328.7 3.802046      0.11
10_1000_4_2       10_1000_4_2   10    501.5 1.178511      0.10
10_1000_4_20     10_1000_4_20   10    328.3 4.110961      0.11
10_1000_4_4       10_1000_4_4   10    317.2 4.263541      0.09
10_1000_4_50     10_1000_4_50   10    327.6 4.550946      0.11
10_500_20_10     10_500_20_10   10     52.5 0.971825      0.04
10_500_20_2       10_500_20_2   10    250.0 0.000000      0.04
10_500_20_20     10_500_20_20   10     40.2 2.616189      0.03
10_500_20_4       10_500_20_4   10    125.0 0.000000      0.04
10_500_20_50     10_500_20_50   10     40.7 2.162817      0.04
10_500_4_10       10_500_4_10   10    163.2 3.910101      0.04
10_500_4_2         10_500_4_2   10    250.6 0.843274      0.05
10_500_4_20       10_500_4_20   10    159.6 2.221111      0.03
10_500_4_4         10_500_4_4   10    159.8 4.589844      0.03
10_500_4_50       10_500_4_50   10    159.6 3.438346      0.04
100_100_20_10   100_100_20_10   10     10.0 0.000000      0.03
100_100_20_2     100_100_20_2   10     50.0 0.000000      0.02
100_100_20_20   100_100_20_20   10      5.0 0.000000      0.02
100_100_20_4     100_100_20_4   10     25.0 0.000000      0.02
100_100_20_50   100_100_20_50   10      2.4 0.516398      0.02
100_100_4_10     100_100_4_10   10     20.4 0.843274      0.02
100_100_4_2       100_100_4_2   10     50.0 0.000000      0.03
100_100_4_20     100_100_4_20   10     18.4 1.264911      0.03
100_100_4_4       100_100_4_4   10     26.2 0.788811      0.02
100_100_4_50     100_100_4_50   10     18.9 1.197219      0.02
100_1000_20_10 100_1000_20_10   10    100.0 0.000000      1.08
100_1000_20_2   100_1000_20_2   10    500.0 0.000000      0.84
100_1000_20_20 100_1000_20_20   10     54.8 1.032796      0.89
100_1000_20_4   100_1000_20_4   10    250.0 0.000000      0.96
100_1000_20_50 100_1000_20_50   10     49.0 1.247219      0.84
100_1000_4_10   100_1000_4_10   10    253.1 2.024846      0.85
100_1000_4_2     100_1000_4_2   10    500.0 0.000000      0.90
100_1000_4_20   100_1000_4_20   10    250.3 2.983287      0.96
100_1000_4_4     100_1000_4_4   10    270.7 2.668749      0.72
100_1000_4_50   100_1000_4_50   10    248.7 2.584140      0.79
100_500_20_10   100_500_20_10   10     50.0 0.000000      0.26
100_500_20_2     100_500_20_2   10    250.0 0.000000      0.26
100_500_20_20   100_500_20_20   10     26.4 0.516398      0.26
100_500_20_4     100_500_20_4   10    125.0 0.000000      0.30
100_500_20_50   100_500_20_50   10     22.0 1.154701      0.30
100_500_4_10     100_500_4_10   10    121.8 1.619328      0.21
100_500_4_2       100_500_4_2   10    250.0 0.000000      0.23
100_500_4_20     100_500_4_20   10    117.6 4.060651      0.25
100_500_4_4       100_500_4_4   10    135.8 1.316561      0.18
100_500_4_50     100_500_4_50   10    118.5 2.505549      0.21
50_100_20_10     50_100_20_10   10     10.0 0.000000      0.02
50_100_20_2       50_100_20_2   10     50.0 0.000000      0.02
50_100_20_20     50_100_20_20   10      5.0 0.000000      0.02
50_100_20_4       50_100_20_4   10     25.0 0.000000      0.02
50_100_20_50     50_100_20_50   10      3.1 0.316228      0.02
50_100_4_10       50_100_4_10   10     22.0 1.632993      0.02
50_100_4_2         50_100_4_2   10     50.0 0.000000      0.02
50_100_4_20       50_100_4_20   10     21.6 1.074968      0.02
50_100_4_4         50_100_4_4   10     26.9 0.567646      0.02
50_100_4_50       50_100_4_50   10     20.3 1.251666      0.02
50_1000_20_10   50_1000_20_10   10    100.0 0.000000      0.43
50_1000_20_2     50_1000_20_2   10    500.0 0.000000      0.54
50_1000_20_20   50_1000_20_20   10     58.1 1.449138      0.54
50_1000_20_4     50_1000_20_4   10    250.0 0.000000      0.45
50_1000_20_50   50_1000_20_50   10     53.7 1.159502      0.51
50_1000_4_10     50_1000_4_10   10    266.7 2.213594      0.45
50_1000_4_2       50_1000_4_2   10    500.0 0.000000      0.40
50_1000_4_20     50_1000_4_20   10    265.9 2.998148      0.38
50_1000_4_4       50_1000_4_4   10    277.3 2.451757      0.51
50_1000_4_50     50_1000_4_50   10    263.6 3.835507      0.53
50_500_20_10     50_500_20_10   10     50.0 0.000000      0.16
50_500_20_2       50_500_20_2   10    250.0 0.000000      0.12
