                         index file runs obj_mean   obj_sd ttot_mean
10_100_20_10     10_100_20_10   10     10.2 0.421637      0.03
10_100_20_2       10_100_20_2   10     50.0 0.000000      0.03
10_100_20_20     10_100_20_20   10      7.3 0.674949      0.02
10_100_20_4       10_100_20_4   10     25.0 0.000000      0.02
10_100_20_50     10_100_20_50   10      7.9 0.994429      0.09
10_100_4_10       10_100_4_10   10     34.0 1.054093     20.39
10_100_4_2         10_100_4_2   10     50.0 0.000000      0.02
10_100_4_20       10_100_4_20   10     34.2 0.788811     24.20
10_100_4_4         10_100_4_4   10     34.4 0.843274      1.54
10_100_4_50       10_100_4_50   10     34.3 1.059350     20.81
10_1000_20_10   10_1000_20_10   10    105.4 2.170509      0.10
10_1000_20_2     10_1000_20_2   10    500.0 0.000000      0.11
10_1000_20_20   10_1000_20_20   10     88.6 3.169297    201.33
10_1000_20_4     10_1000_20_4   10    250.0 0.000000      0.10
10_1000_20_50   10_1000_20_50   10     99.3 1.337494    461.63
10_1000_4_10     10_1000_4_10   10    354.6 2.988868    397.20
10_1000_4_2       10_1000_4_2   10    501.7 1.159502      0.12
10_1000_4_20     10_1000_4_20   10    362.7 4.321779    351.66
10_1000_4_4       10_1000_4_4   10    327.5 6.168919    292.95
10_1000_4_50     10_1000_4_50   10    372.4 3.806427    446.14
10_500_20_10     10_500_20_10   10     53.1 0.875595      0.04
10_500_20_2       10_500_20_2   10    250.0 0.000000      0.05
10_500_20_20     10_500_20_20   10     44.5 1.900292     61.60
10_500_20_4       10_500_20_4   10    125.0 0.000000      0.04
10_500_20_50     10_500_20_50   10     48.1 0.994429    238.16
10_500_4_10       10_500_4_10   10    175.9 2.330951    199.94
10_500_4_2         10_500_4_2   10    250.6 0.843274      0.06
10_500_4_20       10_500_4_20   10    181.2 1.686548    205.26
10_500_4_4         10_500_4_4   10    170.1 3.142893    107.41
10_500_4_50       10_500_4_50   10    183.9 1.370320    207.72
100_100_20_10   100_100_20_10   10     10.0 0.000000      0.04
100_100_20_2     100_100_20_2   10     50.0 0.000000      0.04
100_100_20_20   100_100_20_20   10      5.0 0.000000      0.03
100_100_20_4     100_100_20_4   10     25.0 0.000000      0.03
100_100_20_50   100_100_20_50   10      2.4 0.516398      0.03
100_100_4_10     100_100_4_10   10     22.0 0.666667     17.00
100_100_4_2       100_100_4_2   10     50.0 0.000000      0.03
100_100_4_20     100_100_4_20   10     22.1 0.316228     13.16
100_100_4_4       100_100_4_4   10     26.5 0.971825      0.02
100_100_4_50     100_100_4_50   10     21.9 0.316228     14.02
100_1000_20_10 100_1000_20_10   10    100.0 0.000000      1.06
100_1000_20_2   100_1000_20_2   10    500.0 0.000000      0.96
100_1000_20_20 100_1000_20_20   10     54.6 0.699206     14.20
100_1000_20_4   100_1000_20_4   10    250.0 0.000000      0.78
100_1000_20_50 100_1000_20_50   10     51.9 0.737865    321.04
100_1000_4_10   100_1000_4_10   10    261.7 0.674949    226.97
100_1000_4_2     100_1000_4_2   10    500.0 0.000000      0.95
100_1000_4_20   100_1000_4_20   10    267.4 0.843274    331.49
100_1000_4_4     100_1000_4_4   10    259.5 1.581139    241.49
100_1000_4_50   100_1000_4_50   10    270.2 0.632456    302.53
100_500_20_10   100_500_20_10   10     50.0 0.000000      0.32
100_500_20_2     100_500_20_2   10    250.0 0.000000      0.23
100_500_20_20   100_500_20_20   10     27.3 0.674949      0.27
100_500_20_4     100_500_20_4   10    125.0 0.000000      0.24
100_500_20_50   100_500_20_50   10     23.6 0.516398     86.06
100_500_4_10     100_500_4_10   10    127.8 0.918937    157.86
100_500_4_2       100_500_4_2   10    250.0 0.000000      0.23
100_500_4_20     100_500_4_20   10    130.1 0.567646    116.23
100_500_4_4       100_500_4_4   10    131.4 0.843274     64.51
100_500_4_50     100_500_4_50   10    131.2 0.632456    144.18
50_100_20_10     50_100_20_10   10     10.0 0.000000      0.03
50_100_20_2       50_100_20_2   10     50.0 0.000000      0.04
50_100_20_20     50_100_20_20   10      5.0 0.000000      0.03
50_100_20_4       50_100_20_4   10     25.0 0.000000      0.02
50_100_20_50     50_100_20_50   10      3.1 0.316228      0.03
50_100_4_10       50_100_4_10   10     24.4 0.699206     19.57
50_100_4_2         50_100_4_2   10     50.0 0.000000      0.02
50_100_4_20       50_100_4_20   10     24.4 0.516398     15.09
50_100_4_4         50_100_4_4   10     27.5 0.707107      0.02
50_100_4_50       50_100_4_50   10     24.2 0.632456     16.71
50_1000_20_10   50_1000_20_10   10    100.0 0.000000      0.48
50_1000_20_2     50_1000_20_2   10    500.0 0.000000      0.50
50_1000_20_20   50_1000_20_20   10     57.1 0.994429     60.74
50_1000_20_4     50_1000_20_4   10    250.0 0.000000      0.54
50_1000_20_50   50_1000_20_50   10     58.3 0.948683    349.73
50_1000_4_10     50_1000_4_10   10    276.0 1.333333    296.70
50_1000_4_2       50_1000_4_2   10    500.0 0.000000      0.46
50_1000_4_20     50_1000_4_20   10    284.3 1.251666    369.02
50_1000_4_4       50_1000_4_4   10    266.0 1.699673    251.64
50_1000_4_50     50_1000_4_50   10    288.1 0.875595    362.84
50_500_20_10     50_500_20_10   10     50.0 0.000000      0.10
50_500_20_2       50_500_20_2   10    250.0 0.000000      0.12
50_500_20_20     50_500_20_20   10     29.7 0.674949      2.03
50_500_20_4       50_500_20_4   10    125.0 0.000000      0.14
50_500_20_50     50_500_20_50   10     27.2 0.632456    136.69
50_500_4_10       50_500_4_10   10    136.2 1.135292    145.90
50_500_4_2         50_500_4_2   10    250.0 0.000000      0.12
50_500_4_20       50_500_4_20   10    138.7 1.059350    154.53
50_500_4_4         50_500_4_4   10    135.3 0.948683     71.93
50_500_4_50       50_500_4_50   10    140.4 0.699206    116.49
