                     index file runs obj_mean    obj_sd ttot_mean
2_100_12_10   2_100_12_10   10     40.5  1.957890      0.02
2_100_12_2     2_100_12_2   10     54.6  1.776388      0.02
2_100_12_20   2_100_12_20   10     41.0  1.490712      0.04
2_100_12_4     2_100_12_4   10     39.9  2.424413      0.04
2_100_12_50   2_100_12_50   10     40.1  2.078995      0.02
2_100_20_10   2_100_20_10   10     31.1  3.573047      0.02
2_100_20_2     2_100_20_2   10     53.0  1.054093      0.02
2_100_20_20   2_100_20_20   10     32.2  2.658320      0.01
2_100_20_4     2_100_20_4   10     35.7  1.636392      0.01
2_100_20_50   2_100_20_50   10     33.5  1.581139      0.02
2_100_4_10     2_100_4_10   10     62.6  2.065591      0.02
2_100_4_2       2_100_4_2   10     63.9  3.034981      0.01
2_100_4_20     2_100_4_20   10     61.9  2.282786      0.02
2_100_4_4       2_100_4_4   10     63.2  1.932184      0.01
2_100_4_50     2_100_4_50   10     60.9  2.183270      0.02
2_1000_12_10 2_1000_12_10   10    419.0  6.128259      0.15
2_1000_12_2   2_1000_12_2   10    544.3  5.100109      0.06
2_1000_12_20 2_1000_12_20   10    437.0  6.394442      0.15
2_1000_12_4   2_1000_12_4   10    413.2  5.977736      0.04
2_1000_12_50 2_1000_12_50   10    435.5  5.873670      0.13
2_1000_20_10 2_1000_20_10   10    317.9  8.157478      0.05
2_1000_20_2   2_1000_20_2   10    524.5  3.439961      0.12
2_1000_20_20 2_1000_20_20   10    348.4  7.366591      0.18
2_1000_20_4   2_1000_20_4   10    351.1  7.385421      0.14
2_1000_20_50 2_1000_20_50   10    355.4  4.971027      0.04
2_1000_4_10   2_1000_4_10   10    646.4  5.680376      0.05
2_1000_4_2     2_1000_4_2   10    652.5  8.488554      0.04
2_1000_4_20   2_1000_4_20   10    645.9  3.900142      0.06
2_1000_4_4     2_1000_4_4   10    642.5  6.222718      0.11
2_1000_4_50   2_1000_4_50   10    646.3  5.121849      0.05
2_2000_12_10 2_2000_12_10   10    839.1  9.182713      0.42
2_2000_12_2   2_2000_12_2   10   1093.6  8.342661      0.14
2_2000_12_20 2_2000_12_20   10    876.4  4.742245      0.16
2_2000_12_4   2_2000_12_4   10    818.7 12.436952      0.14
2_2000_12_50 2_2000_12_50   10    876.4  4.718757      0.15
2_2000_20_10 2_2000_20_10   10    636.9 10.093452      0.17
2_2000_20_2   2_2000_20_2   10   1055.5  5.212165      0.14
2_2000_20_20 2_2000_20_20   10    696.1  6.454112      0.90
2_2000_20_4   2_2000_20_4   10    704.1 15.722949      0.14
2_2000_20_50 2_2000_20_50   10    714.9  5.445691      0.14
2_2000_4_10   2_2000_4_10   10   1300.0  6.733003      0.14
2_2000_4_2     2_2000_4_2   10   1307.3 13.258540      0.14
2_2000_4_20   2_2000_4_20   10   1299.8  7.315129      0.14
2_2000_4_4     2_2000_4_4   10   1281.6 11.107555      0.59
2_2000_4_50   2_2000_4_50   10   1295.9  4.094712      0.15
2_500_12_10   2_500_12_10   10    207.1  5.043147      0.03
2_500_12_2     2_500_12_2   10    276.5  3.689324      0.02
2_500_12_20   2_500_12_20   10    215.3  2.110819      0.02
2_500_12_4     2_500_12_4   10    203.0  5.925463      0.02
2_500_12_50   2_500_12_50   10    216.0  3.231787      0.02
2_500_20_10   2_500_20_10   10    157.4  6.467010      0.02
2_500_20_2     2_500_20_2   10    264.9  2.846050      0.02
2_500_20_20   2_500_20_20   10    170.9  4.201851      0.04
2_500_20_4     2_500_20_4   10    175.5  2.953341      0.02
2_500_20_50   2_500_20_50   10    175.7  3.301515      0.02
2_500_4_10     2_500_4_10   10    320.9  3.928528      0.03
2_500_4_2       2_500_4_2   10    325.5  6.114645      0.03
2_500_4_20     2_500_4_20   10    323.0  2.943920      0.02
2_500_4_4       2_500_4_4   10    320.1  5.195083      0.02
2_500_4_50     2_500_4_50   10    319.3  3.860052      0.02
